P_Cluster_0,P_Cluster_1,P_Cluster_2,P_Cluster_3,P_Cluster_4,Player,Cluster
1.144654e-28,1.0,7.2918858e-09,1.086944e-15,5.626771e-29,Iago Aspas,0
0.0,1.0,0.0,0.0,0.0,Yaser Asprilla,0
0.86156607,0.00041337954,0.13782895,1.8528825e-05,0.00017306516,Lorenz Assignon,4
1.7496043e-14,0.0,0.0,5.387691e-29,1.0,Dehmaine Assoumani,1
7.981822e-09,0.00064406457,0.99934506,1.0900535e-05,1.6711565e-14,Valentin Atangana Edoa,4
2.0028442e-38,1.0,4.469144e-10,1.7265867e-15,1.7545253e-38,Arthur Atta,0
2.1139245e-12,0.07928742,0.92071265,0.0,0.0,Noah Atubolu,4
4.3052187e-29,0.9998656,0.00013437093,0.0,1.0656241e-37,Emil Audero,4
0.0,2.5857418e-37,0.0,1.0,1.2667477e-10,Tommaso Augello,2
6.316896e-14,4.651211e-13,2.1886517e-14,1.0,1.991824e-11,Carlos Augusto,2
7.682334e-11,0.10518717,0.8948128,4.873107e-13,0.0,Yann Aurel Bisseck,4
0.0,0.0,0.0,0.99999905,5.521165e-07,Brandon Austin,1
1.0,0.0,9.432738e-30,0.0,2.5300237e-18,Ezequiel Ávila,3
0.0,0.16648366,5.560776e-20,0.83351654,1.0959239e-09,Taiwo Awoniyi,2
1.0962756e-08,6.857491e-17,1.5925032e-34,0.0025275436,0.9974725,Yasin Ayari,3
0.0,0.0,0.0,0.00128389,0.9987163,Florian Ayé,1
1.8090317e-09,1.2753658e-05,0.99998754,2.0147875e-19,3.21e-43,André Ayew,4
1.0,0.0,3.8264697e-21,0.0,1.7751606e-37,Jordan Ayew,3
0.0007884113,9.297842e-07,0.9989594,0.00025133713,1.1143885e-17,Jordan Ayew,4
0.9999866,6.094012e-33,1.2665914e-05,9.015445e-17,2.2789949e-07,Neil El Aynaoui,3
0.0,1.4835985e-07,4.2443114e-15,0.99999994,6.910615e-32,Ayman Azhil,2
1.2337867e-20,0.98016644,0.009538763,0.010294558,2.8737134e-11,Adam Aznou,0
0.0,1.0,0.0,1.8018528e-19,0.0,Adam Aznou,0
0.0,0.15881291,3.322221e-12,0.84118706,2.2814761e-20,César Azpilicueta,2
0.0,0.0,0.0,2.034613e-05,0.9999795,Paulo Azzi,1
3.74e-43,0.9703398,3.258213e-08,0.029660063,2.9448187e-12,Oussama El Azzouzi,0
3.0649772e-09,0.00091316126,0.9990868,3.0918397e-09,2.0690003e-16,Papa Ba,4
0.9998913,0.0,0.00010851956,7.989441e-31,9.232632e-22,Shavy Babicka,3
6.570595e-08,0.00027874715,0.0009796734,0.9987415,9.075085e-10,Jacopo Bacci,4
2.2028965e-28,1.0,6.700057e-09,9.4938544e-15,3.8324356e-33,Aliou Badara Baldé,0
2.1593888e-07,1.2781162e-09,1.0,2.60723e-26,1.965705e-28,Loïc Bade,4
9.556879e-19,0.024657365,0.97534287,7.5624514e-26,1.1902e-40,Milan Badelj,4
8.998973e-05,2.4823366e-12,0.99991035,3.0220614e-20,9.912432e-21,Benoît Badiashile,4
0.8627534,9.575225e-21,1.5347506e-37,2.194389e-23,0.13724637,Alex Baena,3
0.0,1.2212735e-07,0.0,1.0,0.0,Juma Bah,2
3e-45,4.3333002e-19,0.0,1.0,6.295291e-11,Juma Bah,2
3.0239262e-11,1.7720349e-07,1.0,0.0,1.367932e-39,Leon Bailey,4
3.2980846e-08,0.0,0.0,0.0,1.0,Eric Bailly,1
0.0,1.0,0.0,5.575093e-12,3.158215e-19,Theo Bair,0
0.0,0.9783006,1.22975886e-14,0.02169936,7.965574e-18,Stefan Bajcetic,0
0.0,0.0,0.0,0.0,1.0,Cédric Bakambu,1
0.0,1.0,0.0,0.0,0.0,Mitchel Bakker,0
1.9479998e-08,0.0,1.0,3.3353582e-34,2.8e-44,Mitchel Bakker,4
0.99772614,1.678624e-12,0.0012903392,6.4278846e-11,0.0009835968,Darryl Bakola,4
0.0,9.884618e-18,0.0,1.0,2.57979e-40,Ridle Baku,2
3.8927808e-14,0.019169051,0.9808314,3.0048835e-15,7.4443466e-28,Ridle Baku,4
0.9964992,6.9482498e-34,0.003500782,1.1861481e-12,3.3406267e-21,Dilane Bakwa,3
2.8223157e-26,0.0300322,0.9699679,0.0,4.39e-42,Tommaso Baldanzi,4
0.0,0.7015311,0.0,0.298469,1.3636301e-37,Alejandro Balde,0
0.0,0.0,0.0,0.0019243847,0.9980755,Keita Baldé,1
0.0,0.70229536,0.0,0.29770428,1.0688774e-29,Carlos Baleba,0
0.0065202774,1.016732e-39,0.0,0.0,0.9934797,Leonardo Balerdi,3
1.0,1.0481514e-14,3.090819e-17,2.150281e-22,2.5190693e-07,Iván Balliu,3
1.5792841e-12,4.6836046e-10,1.0,7.262519e-23,2.5921435e-28,Fodé Ballo-Touré,4
0.85953903,2.0112506e-16,0.0,0.00011197214,0.14034908,Botond Balogh,3
6.644554e-10,1.9487281e-08,1.0,1.1439941e-29,4.7096864e-23,Folarin Balogun,4
3.47575e-06,4.345887e-09,0.9999962,1.7510258e-26,2.057747e-21,Mario Balotelli,4
0.0,1.0,2.4842317e-19,6.992273e-29,0.0,Abdoulaye Bamba,0
2.8117739e-11,0.00036609746,0.9996339,1.0945383e-10,6.855453e-16,Jonathan Bamba,4
0.0007855203,2.33e-43,0.0,0.0,0.9992145,Mohamed Bamba,3
3.88573e-12,5.118e-41,0.0,1.1360852e-11,1.0,Samuel Bamba,1
4.8871276e-12,3.0034e-41,1.0,0.0,0.0,Lameck Banda,4
5.4668174e-14,0.0016756585,0.99832386,6.4830254e-13,1.8215136e-20,Daniel Bandeira,4
0.9999686,2.200243e-20,2.6566935e-13,4.2073728e-07,3.1246418e-05,Mattia Bani,3
6.89552e-40,0.27627492,3.0842355e-09,0.723725,8.92248e-11,Noahkai Banks,2
0.0,2.7004592e-07,0.0,0.9999995,7.7624905e-26,Scott Banks,2
0.10256001,9.849151e-07,0.8974386,9.2461053e-20,6.490729e-11,Adrian Baquerin,4
5.775095e-05,6.2948565e-08,0.9999418,1.2066474e-10,1.23330404e-17,Antonín Barák,4
0.0,0.0,0.0,1.4152069e-28,1.0,Federico Barba,1
0.0,1.0,0.0,4.3063475e-16,1.6664627e-24,Valentín Barco,0
2.345593e-09,0.012777515,0.93891597,0.048306596,1.7443354e-15,Valentín Barco,4
0.0012923188,1.0398863e-09,0.9987077,3.164067e-17,2.6002247e-13,Bradley Barcola,4
0.0,0.0,0.0,1.3116117e-09,1.0,Melvin Bard,1
0.0,1.0,0.0,0.0,0.0,Nicolò Barella,0
0.0029177202,1.3913762e-12,0.9970821,2.1618e-40,5.959295e-26,Gabriel Bares,4
7.8209455e-36,2.103269e-21,1.0,0.0,0.0,Borna Barišić,4
5.282435e-29,0.18646395,0.8135359,1.7061666e-21,9.040669e-14,Téo Barisic,4
0.20458144,1.2511748e-15,0.7954187,1.42e-40,2.6977146e-15,Kike Barja,3
5.449168e-08,0.00014087769,0.9998588,2.7499227e-17,2.234289e-18,Ross Barkley,4
5.640629e-23,0.8684783,0.1315216,7.24344e-20,5.5915e-41,Aymen Barkok,4
0.9611648,0.0,0.03883522,0.0,8.824026e-31,Harvey Barnes,3
1.0,6.279336e-24,7.9226675e-13,1.2834472e-23,1.5677685e-08,Enzo Barrenechea,3
0.999693,5.6567376e-11,0.0003068875,1.392442e-29,1.3760137e-12,Ander Barrenetxea,3
0.9999962,2.043727e-30,4.175437e-06,5.8105934e-13,1.9598716e-10,Pablo Barrios,3
1.0,0.0,5.02233e-14,1.7865263e-29,4.86659e-08,Thierno Barry,3
6.233323e-39,6.500514e-19,5.988e-42,1.0,9.752969e-24,Davide Bartesaghi,2
0.0,0.0,0.0,0.0,1.0,Marc Bartra,1
3.5929727e-38,7.9654353e-07,0.9999992,0.0,0.0,Federico Baschirotto,4
0.008548421,2.0465553e-26,6.155e-42,1.769689e-09,0.99145156,Daniele Baselli,3
0.0003237967,2.9750247e-14,2.656111e-09,0.22404823,0.77562803,Calvin Bassey,1
0.0,0.9554446,0.04455515,0.0,0.0,Aboubacar Bassinga,0
0.0,0.99999493,5.0273584e-06,0.0,2.2037258e-38,Alessandro Bastoni,4
0.0,0.0,0.0,0.0,1.0,Augusto Batalla,1
0.9999639,1.0533216e-30,0.0,0.0,3.615641e-05,Michy Batshuayi,3
0.0,1.0,0.0,0.0,0.0,Dylan Batubinsika,0
0.9996635,1.407571e-30,0.0003367701,2.7911316e-23,7.032277e-14,Maximilian Bauer,3
8.6857295e-09,1.505455e-05,0.99998474,1.5381952e-13,1.9724025e-23,Oliver Baumann,4
3.08e-43,6.994962e-08,5.2252688e-17,1.0,4.1336808e-08,Christoph Baumgartner,2
2.3612157e-15,0.014604535,0.9853954,4.1929766e-07,2.7319465e-19,Rafael Bauza,4
7.911973e-10,4.5821203e-18,0.0,0.07128064,0.9287192,Altay Bayındır,3
0.0,1.0,0.0,0.0,0.0,Ihlas Bebou,0
1.5009418e-09,2.83927e-07,0.00016053455,0.99983925,4.4016297e-09,Adrian Beck,4
0.0,7.32e-42,0.0,1.0,1.1736357e-23,Sheraldo Becker,2
1.0,1.3990458e-34,2.1319771e-07,1.0064917e-28,9.583879e-11,Timo Becker,3
0.0,9.333214e-19,0.0,1.0,0.0,Jan Bednarek,2
0.25314954,2.3089773e-20,0.74685043,4.652488e-13,1.7271518e-24,Donny van de Beek,4
1.2048675e-10,0.0019345788,0.998065,1.2955276e-09,1.1598256e-15,Hannes Behrens,4
2.0768161e-13,0.0,1.0,0.0,0.0,Kevin Behrens,4
1.4983212e-06,0.021541124,0.97845733,1.7614368e-11,6.266854e-21,Maximilian Beier,4
0.0,1.0,5.1892433e-14,5.440368e-32,0.0,Luken Beitia,4
4.5087623e-09,1.0371602e-06,0.99999905,0.0,4.4382225e-29,Ismael Bekhoucha,4
0.0,0.999086,0.0009138682,0.0,4.6096528e-30,Reda Belahyane,0
0.0,3.142565e-36,0.0,0.9999895,1.0486512e-05,Reda Belahyane,2
0.9999934,1.7800431e-37,0.0,0.0,6.8144686e-06,Haris Belkebla,3
0.9999977,1.8323687e-12,2.3757684e-06,1.6831607e-27,2.4047573e-30,Yassin Belkhdim,3
0.0,5.150887e-13,0.0,1.0,7.7803095e-18,Stefan Bell,2
0.0,1.5206175e-12,8.771125e-26,1.0,8.69893e-08,Armel Bella Kotchap,2
9.515457e-09,0.0007384075,0.99926126,1.17496455e-07,6.8579946e-15,Raoul Bellanova,4
0.9307416,6.9104465e-20,0.06925816,1.4497392e-15,1.767053e-11,Raoul Bellanova,3
0.0,2.533229e-19,0.0,1.0,3.9572198e-15,Jean-Ricner Bellegarde,2
0.999774,7.307012e-15,8.9e-43,1.2804742e-30,0.00022625488,Héctor Bellerín,3
1.2855801e-06,1.5936479e-07,0.9999686,2.9630866e-05,1.8840633e-22,Jude Bellingham,4
0.0,0.99999046,9.89326e-32,9.524913e-06,1.3024446e-17,Jeanuël Belocian,0
0.99997044,3.839597e-15,2.944349e-05,3.5811505e-23,2.6871556e-08,Andrea Belotti,3
4.7986e-41,1.0,9.5169024e-14,4.632641e-37,0.0,Fran Beltrán,0
3.908992e-11,4.8822185e-06,0.99999523,1.4184422e-16,1.4100827e-20,Lucas Beltrán,4
2.6093721e-05,8.6616037e-10,0.99997425,0.0,8.049109e-27,Eliesse Ben Seghir,4
6.060568e-15,0.20189567,0.79810476,1.4440519e-18,7.7e-44,Carlos Benavídez,4
7.589267e-12,1.2957705e-06,0.99999905,1.9950387e-13,1.6152975e-22,Adrian Benedyczak,4
1.5880495e-09,1.4757952e-25,1.0125424e-19,0.96220833,0.03779166,László Bénes,4
0.070068106,7.2293024e-06,0.9287839,0.001141082,1.91468e-13,Iker Benito,4
7.54707e-05,1.4149877e-10,0.9999247,3.8675657e-18,1.467024e-15,Ismaël Bennacer,4
2.8773158e-38,1.0,1.8056203e-15,1.3077642e-21,1.563941e-29,Ismaël Bennacer,0
1.0,0.0,1.4162465e-17,0.0,7.042227e-28,Saïd Benrahma,3
0.9955587,6.5269136e-31,1.0545856e-12,2.756649e-21,0.004441485,Ramy Bensebaini,3
0.0,1.7e-44,0.0,1.0,0.0,Nabil Bentaleb,2
0.0,0.9999977,7.368011e-35,2.194048e-06,1.9450544e-13,Rodrigo Bentancur,0
0.0,1.0,8.631369e-15,2.3994721e-36,0.0,Daniel Bentley,4
0.0,1.3265214e-12,0.0,1.0,0.0,Lucas Beraldo,2
5.5508746e-14,1.1779196e-11,3.781401e-09,1.0,1.8557444e-08,Yuri Berchiche,4
0.00013156288,3.0224876e-09,0.9998684,9.523398e-34,1.5500396e-18,Álex Berenguer,4
1.0,0.0,2.0882925e-16,0.0,8.139e-42,Sander Berge,3
2.457174e-07,1.073831e-06,0.99999905,2.577288e-18,2.1985326e-19,Lucas Bergvall,4
0.0014969646,0.023327671,0.9751754,7.110994e-25,1.432598e-37,Medon Berisha,4
4.401072e-18,0.021960072,0.95871085,0.019329192,3.0314086e-16,Mergim Berisha,4
2.9e-43,1.0,3.6606035e-12,1.1149728e-29,0.0,Mergim Berisha,4
0.0,0.4954723,1.1571664e-28,0.5045279,6.0697566e-29,Adrian Bernabe,2
