P_C0,P_C1,P_C2,P_C3,P_C4,P_C5,P_C6,P_C7,Player,Cluster
0.0,0.0,4.891775e-05,0.0,0.0,0.9999504,0.0,0.0,Antony,5
0.0,0.0,0.0,0.0,2.11661e-06,0.0,0.0,0.99999815,Anuar,7
0.0,5.788395e-31,0.0,0.0,0.0,0.0,0.0,1.0,Dennis Appiah,7
5.171919e-19,0.00010859783,0.9998913,0.0,2.9e-43,2.6589002e-23,0.0,0.0,Aritz Arambarri,2
0.0,4.811668e-32,1.0,0.0,0.0,2.721549e-31,0.0,0.0,Mauro Arambarri,2
0.0,1.0,0.0,0.0,4.5e-44,0.0,0.0,2.2846848e-17,Jon Aramburu,1
0.0,0.0,0.0,0.0,0.0,1.0,3e-45,0.0,Julian Araujo,5
0.0,0.054774813,0.94522566,0.0,6.714598e-33,0.0,0.0,0.0,Ronald Araújo,2
2.4434947e-14,0.0,7.649586e-10,0.0,0.0,1.0,4.7625e-40,0.0,Cameron Archer,5
0.0,0.0,7.1484823e-22,0.0,0.0,1.0,0.0,0.0,Carlens Arcus,5
3.6674382e-27,1.0,5.4489466e-09,0.0,1.4199025e-33,0.0,0.0,0.0,Alphonse Areola,1
1.6557524e-05,0.9999791,4.833343e-06,0.0,6.453218e-10,4.434055e-16,0.0,2.937204e-21,Adu Ares,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jesús Areso,3
2.1983433e-16,6.061519e-29,0.0,4.2395583e-28,0.061609708,0.0,0.0,0.93839055,David Argüelles,7
0.0,0.0,0.0,1.3180093e-16,1.0,0.0,0.0,0.0,Joe Aribo,4
4.6433767e-31,0.0,0.9998397,0.0,0.0,0.00016001805,0.0,0.0,Adam Armstrong,2
3.7554042e-16,0.0,0.0,1.0,0.0,0.0,4.070256e-07,0.0,Harrison Armstrong,3
1.256742e-39,7.887462e-09,0.0,0.0,2.70416e-07,0.0,0.0,1.0,José Arnaiz,7
0.9999666,0.0,0.0,3.361898e-05,3.3614865e-15,1.2102346e-07,2.674968e-13,0.0,Hákon Arnar Haraldsson,0
5.3487025e-21,0.0,0.0,1.0556699e-24,0.99998754,0.0,0.0,1.23698655e-05,Marko Arnautović,4
6.91e-43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Maximilian Arnold,6
0.0,0.04942818,0.0,0.0,8.191279e-36,0.0,0.0,0.95057184,Jann-Fiete Arp,7
0.0,8.4543117e-10,0.0,0.0,0.0,0.0,0.0,1.0,Sergio Arribas,7
0.0,5.1324793e-24,0.0,0.0,4.4076557e-34,0.0,0.0,1.0,Kepa Arrizabalaga,7
0.0,0.0,0.0,8.615439e-32,1.0,0.0,0.0,7.703493e-11,Arthur,4
0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5091426e-08,Takuma Asano,1
0.0,9.463977e-17,1.0,0.0,0.0,9.74683e-40,0.0,0.0,Raúl Asencio,2
0.9999752,0.0,0.0,2.041167e-12,1.6234541e-19,2.193572e-05,2.8647235e-06,0.0,Marco Asensio,0
1.0,0.0,0.0,8.548321e-11,6.1254125e-16,1.9568077e-07,6.7302386e-11,0.0,Marco Asensio,0
8.833138e-27,0.0,0.0,0.0,0.0,1.0,4.6215958e-35,0.0,Kristjan Asllani,5
3.5638112e-33,0.55600876,0.0,0.0,1.3058247e-14,0.0,0.0,0.44399202,Iago Aspas,1
0.0,4.569549e-12,0.0,0.0,0.0,0.0,0.0,1.0,Yaser Asprilla,7
0.829177,6.8375975e-36,1.5880349e-23,3.9551418e-20,2.9965732e-15,0.17082305,7.162247e-20,0.0,Lorenz Assignon,0
2.48695e-14,0.0,0.0,2.7137692e-19,0.0,5.3874975e-32,1.0,0.0,Dehmaine Assoumani,6
2.1027818e-06,0.99999815,7.979545e-15,4.1803364e-33,2.2369665e-07,3.6213326e-23,0.0,1.854399e-07,Valentin Atangana Edoa,1
6.54e-43,0.9980326,0.0,0.0,2.5213528e-18,0.0,0.0,0.0019670802,Arthur Atta,1
4.1027676e-10,1.0,2.6167155e-11,0.0,8.31e-43,0.0,0.0,0.0,Noah Atubolu,1
2.6048964e-24,1.0,4.940779e-22,0.0,1.74923e-40,0.0,0.0,0.0,Emil Audero,1
5.3967566e-16,0.0,0.0,0.7087607,0.2912391,0.0,0.0,0.0,Tommaso Augello,3
0.99583536,0.0,0.0,0.0041645546,9.9587595e-11,0.0,1.5029418e-16,0.0,Carlos Augusto,0
4.1168528e-22,4.9633058e-18,1.0,0.0,3.0750152e-38,1.6678326e-21,0.0,0.0,Yann Aurel Bisseck,2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Brandon Austin,3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ezequiel Ávila,5
5.4387e-41,1.8311722e-25,0.0,6.0341e-41,1.2448083e-06,0.0,0.0,0.99999815,Taiwo Awoniyi,7
0.98577136,0.0,0.0,0.0051665623,2.9969037e-23,7.2401007e-34,0.009062136,0.0,Yasin Ayari,0
1.3780711e-18,0.0,0.0,1.0,3.360043e-27,0.0,1.0829868e-31,0.0,Florian Ayé,3
2.9366307e-30,2.8109686e-34,1.0,0.0,0.0,1.0971478e-12,0.0,0.0,André Ayew,2
4.1644487e-27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Jordan Ayew,5
2.9006557e-07,0.0067438874,0.99325556,0.0,3.7326086e-13,1.6826316e-15,0.0,4.71e-43,Jordan Ayew,2
1.802968e-10,0.0,0.0,0.0,0.0,1.0,3.7823273e-26,0.0,Neil El Aynaoui,5
6.5692267e-31,8.9464e-41,0.0,1.1718079e-35,0.9997406,0.0,0.0,0.0002594923,Ayman Azhil,4
1.3259678e-30,7.5682856e-06,0.0,5.5e-44,3.3493155e-10,0.0,0.0,0.9999923,Adam Aznou,7
0.0,1.2465068e-14,0.0,0.0,6.958676e-26,0.0,0.0,1.0,Adam Aznou,7
1.258414e-27,6.3870107e-24,0.0,5.44044e-36,0.010201959,0.0,0.0,0.9897984,César Azpilicueta,7
1.4397656e-35,0.0,0.0,1.0,1.12e-43,0.0,1.1499163e-25,0.0,Paulo Azzi,3
1.391975e-36,0.0037823215,0.0,2.118986e-39,1.6873283e-06,0.0,0.0,0.99621636,Oussama El Azzouzi,7
3.038993e-08,0.99999046,9.24017e-06,1.6976147e-38,8.5644906e-08,2.824004e-35,0.0,2.710569e-14,Papa Ba,1
2.5864719e-37,0.0,3.3952634e-08,0.0,0.0,1.0,0.0,0.0,Shavy Babicka,5
0.9987915,2.9973253e-24,0.0,8.229548e-07,0.0012079143,1.3140749e-14,8.913074e-15,3.392282e-25,Jacopo Bacci,0
1.856493e-39,0.9999791,0.0,0.0,5.2901115e-24,0.0,0.0,2.0664384e-05,Aliou Badara Baldé,1
2.8292136e-34,3.148817e-21,1.0,0.0,0.0,1.4081579e-09,0.0,0.0,Loïc Bade,2
7.4387e-41,5.17023e-16,1.0,0.0,0.0,0.0,0.0,0.0,Milan Badelj,2
8.204495e-24,1.9136054e-33,0.9995728,0.0,0.0,0.00042733387,0.0,0.0,Benoît Badiashile,2
2.7218754e-05,0.0,0.0,0.0,0.0,0.9999695,3.6494605e-06,0.0,Alex Baena,5
0.0,0.0,0.0,0.0,5.007417e-22,0.0,0.0,1.0,Juma Bah,7
1.9362634e-13,0.0,0.0,0.01597907,0.98402095,0.0,0.0,0.0,Juma Bah,4
0.0,6.2562265e-13,1.0,0.0,0.0,0.0,0.0,0.0,Leon Bailey,2
5.9957e-22,0.0,0.0,0.0,0.0,5.8742127e-05,0.99994123,0.0,Eric Bailly,6
0.0,1.65584e-40,0.0,0.0,2.0581539e-30,0.0,0.0,1.0,Theo Bair,7
0.0,2.7027796e-17,0.0,0.0,2.201797e-08,0.0,0.0,1.0,Stefan Bajcetic,7
1.3604099e-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cédric Bakambu,6
0.0,2.4283621e-14,0.0,0.0,0.0,0.0,0.0,1.0,Mitchel Bakker,7
1.0,1.479369e-39,9.11253e-33,2.4127674e-32,1.4264494e-26,2.9564406e-08,3.57297e-27,0.0,Mitchel Bakker,0
0.99998754,1.6011943e-28,7.5878226e-26,1.13036266e-17,5.199302e-13,1.1611053e-05,4.2047452e-07,1.32626e-40,Darryl Bakola,0
