L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,Cluster,Player
0.14014344,0.52636325,0.6677265,-0.569457,0.47559148,0.21275803,0.33373094,0.27154663,-0.039607897,-0.18056083,-0.16740479,0.18094197,-0.18285726,0.06834129,-0.24048193,0.13500242,1,Nathan Aké
0.25075346,0.32397148,0.6606291,-0.4488886,-0.15831782,-0.005828902,0.5413473,0.21655643,-0.11537868,0.18385755,-0.3128335,0.023239344,-0.02701533,0.22033119,-0.13610214,0.11842188,1,Ilias Akhomach
0.142948,0.40052634,0.5924065,-0.4277919,-0.16531193,0.20557308,0.20460357,0.19912767,-0.061497837,0.1769051,-0.27331662,0.089019805,-0.17171542,0.260467,-0.123415515,-0.13523573,1,Sergio Akieme
0.18574552,0.14803109,0.41257936,-0.29262722,0.25053656,-0.052994683,0.24356209,0.24037659,0.028969862,0.03925796,-0.074251674,-0.044707432,-0.035866007,0.06151396,-0.1995793,0.16831328,1,Maghnes Akliouche
0.30702052,-0.06502999,0.42317706,-0.34581286,0.34659123,-0.15491061,0.117447436,0.20910548,-0.13121851,0.03076896,-0.17856508,-0.2611671,0.0047163535,0.15340689,-0.3932925,0.23786324,1,Paul Akouokou
0.8246562,-0.30162376,0.29577374,-0.6250751,0.3761241,-0.67375267,0.57479006,0.48275113,-0.81015074,0.18985797,-0.6377866,-0.66697574,0.31959856,0.54646236,-0.47052264,0.7972314,1,Clément Akpa
0.14187849,0.45802304,0.7494861,-0.49191105,-0.32369187,0.23972484,0.1307289,0.10734637,-0.0055925623,0.3151753,-0.37515512,0.07769494,-0.27073774,0.30618587,-0.19042951,-0.18440507,1,Jean-Daniel Akpa-Akpro
0.30540654,-0.19035238,0.5323111,-0.721752,0.12704957,-0.49431863,1.4275011,0.658323,-0.7102647,0.5482061,-1.108007,-0.3755226,0.5134058,-0.22119701,0.064241275,1.0625994,0,David Akpan Ankeye
0.008222371,0.42930296,0.71169746,-0.6612978,0.88952357,0.21636578,0.41593772,0.24370188,-0.05357057,-0.38816315,-0.08543035,0.09323037,-0.22541144,-0.07959331,-0.35439074,0.3040032,1,Kevin Akpoguma
0.26659882,-0.25291765,0.43411952,-0.45672005,0.5260541,-0.23720309,0.41925436,0.27065498,-0.271956,-0.029084966,-0.28202772,-0.38759932,0.15301694,0.020997472,-0.2777672,0.5221797,1,Chuba Akpom
0.43038052,0.13998109,0.65195227,-0.4534465,0.39175707,-0.07537185,0.11066651,0.1754368,-0.15462896,0.020975366,-0.23552787,-0.17604509,-0.077736944,0.26254323,-0.56482947,0.15682699,1,David Alaba
0.2547734,-0.13452327,0.70745814,-0.5457352,0.6310984,-0.09810246,0.11905786,0.1483702,-0.17523512,-0.09931314,-0.30764496,-0.3325808,0.019759683,0.031634204,-0.5182752,0.39536008,1,Ibrahim Alani
-0.057243735,0.50084436,0.8509915,-0.778368,-0.54048514,0.33035517,0.7917791,0.16615435,-0.24948445,0.2554481,-0.64790183,0.17005229,-0.31217477,0.16085094,0.10030289,-0.078465596,1,Andreas Albers
