Player,Cluster,tSNE_1,tSNE_2
Paulo Azzi,0,44.13433,8.304921
Oussama El Azzouzi,1,-7.933701,12.5824585
Papa Ba,1,-10.633443,7.480514
Shavy Babicka,1,6.575531,-30.428095
Jacopo Bacci,1,-2.2381058,1.6147779
Aliou Badara Baldé,1,-27.980919,15.823609
Loïc Bade,1,-13.8453455,-21.33467
Milan Badelj,1,-48.095436,-11.395418
Benoît Badiashile,1,-10.048875,-23.548914
Alex Baena,1,26.187319,-27.946997
Juma Bah,1,-1.0968975,30.671892
Juma Bah,1,9.715569,28.541492
Leon Bailey,1,-35.793507,-11.51179
Eric Bailly,0,46.062363,-9.496414
Theo Bair,1,-40.58346,28.907358
Stefan Bajcetic,1,-5.6659417,24.801064
Cédric Bakambu,0,54.429916,-4.411738
Mitchel Bakker,1,-46.265,23.54856
Mitchel Bakker,1,6.836675,-4.4825916
Darryl Bakola,1,8.913919,-10.433581
Ridle Baku,1,9.668087,34.52765
Ridle Baku,1,-15.738022,13.493705
Dilane Bakwa,1,-7.4022117,-10.2829485
Tommaso Baldanzi,1,-39.49456,-7.6973844
Alejandro Balde,1,-8.191986,25.353949
Keita Baldé,0,42.80433,9.703594
Carlos Baleba,1,5.855546,33.40632
Leonardo Balerdi,0,45.89782,-10.102408
Iván Balliu,1,16.304049,-29.803047
Fodé Ballo-Touré,1,-14.026732,-12.196236
Botond Balogh,1,19.01285,-12.425597
Folarin Balogun,1,-33.761814,-17.583845
Mario Balotelli,1,-13.486256,-11.310823
Abdoulaye Bamba,1,-45.68423,16.206493
Jonathan Bamba,1,-18.239737,-17.613934
Mohamed Bamba,0,45.714394,-9.991902
Samuel Bamba,0,42.885227,-5.780377
Lameck Banda,1,-24.213959,1.3176036
Daniel Bandeira,1,-12.125615,-2.2459993
Mattia Bani,1,18.257936,-14.760727
Noahkai Banks,1,-3.9860072,14.215075
Scott Banks,1,6.642306,29.385954
Adrian Baquerin,1,-2.2815044,-10.890903
Antonín Barák,1,-5.388413,-12.742534
Federico Barba,0,52.42122,9.6868305
Valentín Barco,1,-41.673897,25.51647
Valentín Barco,1,6.6842146,1.2309089
Bradley Barcola,1,-15.768885,-19.156258
Melvin Bard,0,47.77016,14.563837
Nicolò Barella,1,-39.785675,18.612883
