Player,Cluster,tSNE_1,tSNE_2,UMAP_1,UMAP_2
Andrea Belotti,3,-21.925613,-11.812517,2.947586,0.2462319
Fran Beltrán,0,45.16117,-2.7009027,-4.8883677,4.718534
Lucas Beltrán,4,11.917626,-12.858754,-0.93731564,1.6491435
Eliesse Ben Seghir,4,19.924116,-23.26943,-1.9793673,1.1137745
Carlos Benavídez,4,28.618189,-8.825135,-3.3605707,2.8701968
Adrian Benedyczak,4,9.514396,-16.18782,-0.8464494,1.3011853
László Bénes,4,-9.901246,0.70004994,2.1806514,1.8391513
Iker Benito,4,1.9868367,-0.8714201,0.854895,2.1197176
Ismaël Bennacer,4,4.8616786,-15.570871,-0.3195391,0.78315836
Ismaël Bennacer,0,31.631622,4.5264707,-2.6842272,4.777491
Saïd Benrahma,3,-23.4221,-27.085648,2.5802872,-1.4662013
Ramy Bensebaini,3,-33.949127,-11.652402,3.9945793,-0.40830553
Nabil Bentaleb,2,-14.667553,30.00247,3.683962,4.2463827
Rodrigo Bentancur,0,13.08301,27.04866,0.6693497,5.1776977
Daniel Bentley,4,45.668674,-7.6423464,-5.224699,4.0199428
Lucas Beraldo,2,7.070818,31.547146,1.5245855,5.5115504
Yuri Berchiche,4,-2.6379297,4.391788,1.6147652,2.5248926
Álex Berenguer,4,18.615677,-23.49791,-1.839664,1.0093784
Sander Berge,3,-36.973396,-26.19339,4.1378856,-2.0583453
Lucas Bergvall,4,15.941664,-18.521643,-1.6312329,1.4870462
Medon Berisha,4,8.074435,-21.318064,-0.8094283,0.772764
Mergim Berisha,4,11.78106,13.016772,0.5211579,4.0081635
Mergim Berisha,4,45.16873,-6.380483,-5.1905036,4.3512607
Adrian Bernabe,2,12.197394,23.877327,0.6500137,4.942561
Marc Bernal,0,9.894654,7.207492,1.0561843,3.795736
Bernardo,2,-21.44951,7.6688514,3.4759533,1.7837695
Juan Bernat,2,5.133514,30.865015,1.7238617,5.401636
Juan Bernat,0,19.166943,5.806458,-0.57657254,3.7807655
Maxime Bernauer,1,-50.489944,6.202695,7.5787477,0.6346024
Antoine Bernede,0,48.54845,4.0625043,-4.5185843,5.688769
Alexander Bernhardsson,1,-42.24281,-0.91408837,5.76528,0.34130135
Victor Bernth Kristiansen,4,2.7910523,-20.1017,-0.1430095,0.21579926
Matúš Bero,4,17.483513,11.881764,-0.47668347,3.9190717
