L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,Cluster,Cluster_KMeans,Cluster_Agglom,Cluster_GMM,GMM_Confidence,Recon_Error,Player
-0.54503465,-0.119155854,-0.36725333,-0.3469028,-0.5829263,0.5058113,0.25529534,0.2431005,-0.43963408,0.12852915,0.10660666,0.16394415,2,4,2,2,0.99996185,0.09250335,Emmanuel Agbadou
-1.3232962,-0.18706323,-0.93820506,0.2278688,-0.34156945,-1.094121,-1.204513,2.0288975,-0.6304683,2.0086992,1.6426275,0.47089115,1,1,1,1,1.0,0.24199781,Emmanuel Agbadou
-0.31499642,-0.061525173,0.32002893,-0.79495496,-1.0903237,0.19753693,1.2085674,-0.26828936,0.17478226,0.014994457,0.07123561,-0.86536825,0,0,0,0,1.0,0.051211827,Asher Agbinone
-0.30150256,-0.30636922,-0.19157836,-0.035588384,-0.2641354,-0.24404973,0.47971883,0.1267334,0.11698593,-0.57603604,-0.7011924,0.10940692,4,4,4,4,1.0,0.022795001,Jeremy Agbonifo
-0.5594008,-0.13155916,0.30877286,-0.79761744,-0.7958671,0.49394917,0.97931015,-0.30230507,0.15369155,0.086788744,-0.18741688,-0.44050598,0,0,0,0,1.0,0.029269775,Julen Agirrezabala
-0.20491484,-0.6229054,-0.55254364,1.0966525,0.52790695,-1.2302076,-0.31472513,0.012626961,0.27339792,-0.1079513,-0.22889547,0.9151894,3,3,3,3,1.0,0.037483618,Lucien Agoume
-0.96301466,-0.8924893,-0.032439403,-0.31710953,-0.4545612,-0.09918177,0.84691083,-0.48533282,0.5104815,-0.306046,-0.6768396,-0.02868826,4,4,4,4,0.9997569,0.030215923,Felix Agu
-0.11331214,-0.48855963,-0.3152876,0.23773026,0.34755188,-0.4973336,-0.4158918,0.29095757,-0.33430892,0.19347109,-0.8044802,0.649,3,3,3,3,1.0,0.07317504,Álvaro Aguado
-0.61798155,0.20955186,0.31728095,-0.8510488,-0.13282709,0.48876643,0.7138758,-1.1111786,0.8196086,0.36700594,0.26227123,-0.8862546,0,0,0,0,1.0,0.1521495,Lorenzo Aguado
-0.68302995,-0.31687853,-0.31558818,0.055846095,0.5372075,0.0392192,0.027223822,-0.17525762,0.40224254,-0.32632113,-0.7426872,0.95827335,4,4,4,0,0.99271345,0.041734148,Nayef Aguerd
-0.15462929,-0.24437766,-0.29451132,-0.14748062,0.11866322,0.019553766,-0.1576501,0.21999758,-0.3449011,-0.20469391,-0.7594243,0.3674733,4,4,3,4,0.9836603,0.03715563,Ruben Aguilar
-0.64370644,0.4525117,-0.18199447,-0.9355532,-1.0462905,0.35615176,-0.61675507,0.96587163,-0.38983977,1.7842467,1.335569,-0.2505199,2,2,2,2,1.0,0.16472772,Naouirou Ahamada
-0.6945876,-0.105696894,-1.1093451,1.1423322,0.055242967,-0.62273026,-0.7892524,1.4455018,-0.077098064,0.10227701,0.12776878,1.1283743,1,3,1,1,1.0,0.111006856,Honest Ahanor
-0.5257191,-0.050336264,-0.89898807,0.51309043,-0.08891046,-0.43820173,-0.71360224,1.1797696,-0.49944568,0.43113923,0.112740785,0.69460243,1,2,1,1,0.99939466,0.0835958,Erik Ahlstrand
-0.37230667,-0.15369718,-0.62436116,0.6175258,0.024907654,-0.45872062,-0.23176107,0.6974764,-0.21415669,-0.104832396,-0.20490307,0.37951493,3,3,3,3,0.98418385,0.0693233,Jean-Eudes Aholou
-0.3940341,-0.20451675,-0.05289758,-0.2850998,0.10071541,-0.047528826,-0.504872,0.4208129,-0.42852396,0.47389328,-0.54185563,0.60942423,2,4,3,2,0.9974468,0.09154479,Joseph Aidoo
