Player,Cluster,tSNE_1,tSNE_2
Carlos Baleba,1,3.8148832,-31.63895
Leonardo Balerdi,0,46.273685,16.401493
Iván Balliu,1,13.82101,16.627846
Fodé Ballo-Touré,1,-18.175598,26.276203
Botond Balogh,1,14.048826,0.9312389
Folarin Balogun,1,-26.303118,26.693588
Mario Balotelli,1,-13.673903,19.8277
Abdoulaye Bamba,1,-34.14494,-16.248161
Jonathan Bamba,1,-13.127511,3.6809497
Mohamed Bamba,0,46.021534,16.465124
Samuel Bamba,0,42.626328,10.012234
Lameck Banda,1,-14.713969,41.713535
Daniel Bandeira,1,-13.274813,3.1897485
Mattia Bani,1,11.352622,8.72015
Noahkai Banks,1,8.06437,-13.7505865
Scott Banks,1,8.031976,-29.468147
Adrian Baquerin,1,-1.4328247,22.382887
Antonín Barák,1,-9.291994,13.835087
Federico Barba,0,46.726654,0.0126564605
Valentín Barco,1,-24.357927,-30.628246
Valentín Barco,1,-6.998394,-18.703129
Bradley Barcola,1,-14.363407,17.975166
Melvin Bard,1,35.641376,-11.427239
Nicolò Barella,1,-39.045853,-31.71468
Gabriel Bares,1,-11.173584,26.029396
Borna Barišić,1,-18.027653,39.491123
Téo Barisic,1,-28.233624,3.5348976
Kike Barja,1,6.7680163,32.17803
Ross Barkley,1,-17.199274,16.119858
Aymen Barkok,1,-30.830872,15.791537
Harvey Barnes,1,13.746224,35.96647
Enzo Barrenechea,1,11.950655,27.667921
Ander Barrenetxea,1,3.998657,27.75545
Pablo Barrios,1,9.534998,17.41168
Thierno Barry,1,28.053205,17.676323
Davide Bartesaghi,1,-2.7436771,-29.412611
Marc Bartra,0,57.681644,9.685572
Federico Baschirotto,1,-20.781712,41.756557
Daniele Baselli,1,16.49899,9.49614
Calvin Bassey,1,26.507957,7.0037208
Aboubacar Bassinga,1,-44.440548,-27.937813
Alessandro Bastoni,1,-33.989677,-3.3923872
Augusto Batalla,0,56.469753,8.557704
Michy Batshuayi,1,23.16968,27.435358
Dylan Batubinsika,1,-32.50061,-30.258804
Maximilian Bauer,1,2.438108,20.847754
Oliver Baumann,1,-7.3476343,-12.225088
Christoph Baumgartner,1,-3.7867134,-28.837503
Rafael Bauza,1,-12.60708,-6.419345
Altay Bayındır,1,15.981773,-1.6776425
Ihlas Bebou,1,-36.584435,-33.29778
Adrian Beck,1,19.066746,-18.306755
Sheraldo Becker,1,6.1153154,-38.864254
Timo Becker,1,8.337709,23.433147
Jan Bednarek,1,5.1370115,-32.329914
Donny van de Beek,1,-0.0010643825,9.385237
Hannes Behrens,1,-10.499925,-6.1176267
Kevin Behrens,1,-15.71346,34.407795
Maximilian Beier,1,-19.373426,6.2032022
Luken Beitia,1,-48.299534,-1.1444949
Ismael Bekhoucha,1,-30.956337,24.053736
Reda Belahyane,1,-35.34492,19.73589
Reda Belahyane,1,21.542112,-28.075556
Haris Belkebla,0,33.165806,30.962797
Yassin Belkhdim,1,12.767079,16.642693
Stefan Bell,1,12.712163,-30.614216
Armel Bella Kotchap,1,10.950192,-28.543432
Raoul Bellanova,1,-8.067883,-3.354458
Raoul Bellanova,1,8.07843,7.0290623
Jean-Ricner Bellegarde,1,16.462585,-24.396133
Héctor Bellerín,1,15.480495,18.478931
Jude Bellingham,1,-7.531314,-1.3833468
Jeanuël Belocian,1,-31.460093,-18.400282
Andrea Belotti,1,22.40099,14.242941
Fran Beltrán,1,-39.343105,-13.998808
Lucas Beltrán,1,-14.963051,12.730611
Eliesse Ben Seghir,1,-19.528925,28.735422
Carlos Benavídez,1,-28.823374,10.68193
Adrian Benedyczak,1,-8.17654,11.249655
László Bénes,1,22.010433,-2.2491052
Iker Benito,1,0.72159004,-4.444249
Ismaël Bennacer,1,-17.409739,21.047407
Ismaël Bennacer,1,-29.105562,-10.759778
Saïd Benrahma,1,12.172683,32.652096
Ramy Bensebaini,1,28.027403,18.44573
Nabil Bentaleb,1,4.186282,-41.835136
Rodrigo Bentancur,1,-21.923515,-27.330334
Daniel Bentley,1,-48.893448,-0.67949265
Lucas Beraldo,1,-19.087156,-33.284992
Yuri Berchiche,1,1.8387713,-9.448961
Álex Berenguer,1,-21.07485,25.597752
Sander Berge,1,18.612663,37.32973
Lucas Bergvall,1,-25.131065,9.792866
Medon Berisha,1,-24.840664,12.430979
Mergim Berisha,1,-8.010854,-5.7468805
Mergim Berisha,1,-47.19432,-1.0558658
Adrian Bernabe,1,2.8706665,-19.488775
Marc Bernal,1,-12.814071,-23.275805
Bernardo,1,26.875751,4.160128
Juan Bernat,1,4.8041086,-27.402372
Juan Bernat,1,-19.117964,-8.550471
Maxime Bernauer,0,52.532337,9.453014
Antoine Bernede,1,-37.139732,-20.141516
Alexander Bernhardsson,0,43.99412,12.018058
Victor Bernth Kristiansen,1,-18.922228,23.997313
Matúš Bero,1,-15.042464,-1.4146363
Juan Berrocal,1,-32.08018,-31.93024
Dimitry Bertaud,1,10.280899,-14.553748
Jan-Niklas Beste,1,-7.167948,-22.881626
Beto,1,-31.556984,-26.150953
Sam Beukema,1,-30.372053,2.7153509
Alessandro Bianco,1,9.048117,5.9622216
Alessandro Bianco,1,-29.78571,7.967022
Mika Biereth,1,-28.174736,25.100096
Jaka Bijol,1,3.0487728,27.697598
El Bilal Touré,1,-39.71383,-29.546234
Philip Billing,1,-28.693665,29.391142
Philip Billing,1,-5.0453625,-36.053364
Cristiano Biraghi,1,-42.014874,-29.241892
Cristiano Biraghi,1,-1.0575445,26.294752
Samuele Birindelli,1,12.925791,34.36612
Tom Bischof,1,37.74299,-11.824959
Yves Bissouma,1,-0.05319261,-18.31785
Leonardo Bittencourt,1,-13.579272,-9.662277
Emmanuel Biumla,1,12.402383,-23.975836
Marco Bizot,1,15.377522,0.010746196
Bjarki Bjarkason,1,-31.777002,29.010061
Antonio Blanco,1,7.067354,-23.28246
Ludovic Blas,1,-0.353498,4.417942
Daley Blind,1,8.048618,-23.009895
Myron Boadu,1,-0.15838327,17.039663
Augustine Boakye,1,7.11382,-5.8881707
Oscar Bobb,1,33.724648,2.7921963
Mathéo Bodmer,1,5.7419844,-39.768726
Sacha Boey,1,-15.418548,40.563923
Jeremie Boga,1,-33.049118,23.307913
Lamare Bogarde,1,-12.591535,13.035958
Emil Bohinen,1,-32.84153,-26.252953
Adama Boiro,1,-35.784264,-35.297554
Willy Boly,1,-24.431225,-4.044115
Moïse Bombito,1,30.98262,14.163881
Warren Bondo,1,10.294924,9.648217
Warren Bondo,1,-24.999174,-30.045992
Victor Boniface,1,24.92163,-4.988348
Kevin Bonifazi,1,-46.678947,-4.9217634
Ange-Yoan Bonny,1,10.726825,-33.215034
Sebastiaan Bornauw,1,-44.39133,-29.06697
Sven Botman,1,14.606887,-1.9628906
Saïmon Bouabré,1,14.377643,27.123724
Ayyoub Bouaddi,1,10.579603,20.054264
Badredine Bouanani,1,4.926399,-28.281221
Benjamin Bouchouari,1,-38.194965,-14.555972
Hicham Boudaoui,1,-41.392967,-33.333675
Carlo Boukhalfa,1,-21.00024,41.923756
Justin Bourgault,1,-21.907972,31.90278
Benjamin Bourigeaud,1,19.978992,24.506464
Edoardo Bove,1,3.0540566,6.6366806
Jarrod Bowen,1,-12.873576,17.427864
Enzo Boyomo,1,4.524639,17.846216
Enzo Boyomo,1,-13.750352,-21.110577
Domagoj Bradarić,1,-44.480682,-28.863226
Conor Bradley,1,-12.649941,-31.502123
Bilal Brahimi,1,-13.017256,13.62343
Julian Brandt,1,-11.345527,-7.6290183
Jarrad Branthwaite,1,0.011471369,12.879042
Darko Brašanac,1,-17.977394,17.169125
Lilian Brassier,1,2.336865,-6.2573204
Lilian Brassier,1,-17.461796,-22.102478
Matthias Braunöder,1,-21.046482,18.15354
Iker Bravo,1,-39.324257,-34.30084
James Bree,1,2.7244563,-18.978167
Tim Breithaupt,1,-17.133547,30.708765
Gleison Bremer,1,19.976068,-14.3480215
Brenner,1,7.48051,-2.656001
Ben Brereton,1,-29.701612,-19.616882
Marco Brescianini,1,15.647856,17.46325
Maximilian Breunig,1,-17.170025,-36.302258
Anthony Briançon,0,48.230576,-1.6304272
Nathan Broadhead,0,42.932117,12.344218
Armando Broja,1,23.138288,32.931377
David Brooks,1,-17.23552,27.464035
Arvid Brorsson,1,18.440798,-26.635576
Moritz Broschinski,1,14.393427,36.679836
Nathaniel Brown,1,27.341736,34.610054
Jacob Bruun Larsen,1,-1.1059783,-36.40495
Jacob Bruun Larsen,1,18.12129,-33.49649
Tajon Buchanan,1,-22.201174,18.91817
Tajon Buchanan,1,-25.159582,23.621847
Ante Budimir,1,15.022151,10.076695
Emi Buendía,1,8.122262,-13.12763
Emi Buendía,1,-33.331654,16.238039
Manu Bueno,1,-17.022655,31.189894
Santiago Bueno,1,-27.788334,-4.85297
Endika Buján,1,-14.286172,24.571482
Marius Bülter,1,18.460646,-25.352575
Facundo Buonanotte,1,-8.232209,-11.746234
Alessandro Buongiorno,1,-28.356173,26.775263
Cameron Burgess,0,54.514973,6.372517
Jonathan Burkardt,1,10.946609,-8.467097
Oliver Burke,1,-47.440243,-3.6190033
Dan Burn,1,12.010434,19.218664
Rareș-Cătălin Burnete,1,1.1648017,-38.028267
