L1,L2,L3,L4,L5,L6,L7,L8,Cluster,Player
-0.11143066,0.20839384,1.0939695,-0.04123792,0.07900038,0.042460307,0.89958066,0.1375022,0,Julian Araujo
-2.0271175,-0.358315,0.20680869,-0.91221267,0.6037466,0.06179303,-1.2630539,0.23947659,0,Ronald Araújo
-0.12475855,-0.026228756,0.15923226,-0.3392931,0.13644871,0.2764756,0.09482584,-0.20315105,0,Cameron Archer
-0.14706671,-0.020743601,0.47404554,-0.34248817,-0.058414817,0.29262298,0.25264788,-0.10559123,0,Carlens Arcus
-0.62437356,-0.66096044,-0.08266892,-0.28839973,-0.1810044,-0.6094278,-0.8802031,0.4984224,0,Alphonse Areola
-0.35627788,-0.019023076,-0.24897048,-0.303557,0.444705,0.0066642314,-0.45210543,-0.009833325,0,Adu Ares
0.19646448,2.8037474,-0.5076511,-0.16673143,2.3381438,-1.3326359,3.6255836,-1.7852972,2,Jesús Areso
-0.18517226,0.40580466,-0.92987067,0.010623977,1.2678757,-0.34992117,-0.268108,-0.4564699,1,David Argüelles
-0.06911108,0.81869924,-1.2532256,-1.2913789,1.3239446,-0.50192636,0.8580134,-1.8020029,2,Joe Aribo
-1.4595798,-0.07984639,0.61009914,-0.713347,0.3297634,-0.033404768,0.32770377,0.0151908025,0,Adam Armstrong
-0.23835643,1.0607468,-0.08414314,-0.18618186,1.479384,-0.5745269,2.2492678,-0.96389765,2,Harrison Armstrong
-0.2834292,0.033841066,-0.73815453,-0.4267739,0.52216434,-0.35654467,-0.63225174,0.02078437,1,José Arnaiz
0.19918364,0.33514294,-0.24007824,-0.053737685,0.6663195,0.1465319,0.122646965,-0.43140858,1,Hákon Arnar Haraldsson
-0.5697069,0.37504235,-0.8709451,-0.8791668,0.981775,-0.2971083,-0.23677546,-0.77276486,1,Marko Arnautović
-0.5446037,1.5427957,1.0130621,0.11370219,1.172184,-1.1673919,2.33872,-0.16349903,2,Maximilian Arnold
-0.74674034,-0.32318774,-0.40090814,-0.14148985,0.33035037,-0.9059536,-1.2633111,0.05972811,0,Jann-Fiete Arp
-1.6001036,-0.35441354,-0.5266519,-0.40234444,0.9535909,-1.0728889,-1.4593198,-0.2593588,1,Sergio Arribas
-0.27481085,-0.76837146,-1.0667906,-0.18203543,0.79293966,-0.7928966,-0.96786344,-0.20645574,1,Kepa Arrizabalaga
0.11025903,0.009898789,-1.3390819,-0.65737253,1.2816646,-0.58942324,-0.090798065,-1.3955482,1,Arthur
-1.149142,-0.59398,-0.373409,-0.52786314,0.25345808,-0.72940207,-1.4535525,0.11765704,0,Takuma Asano
-0.7013761,-0.41480967,0.26646057,-0.33535904,-0.17365646,-0.038226128,-0.64284813,0.6098613,0,Raúl Asencio
-0.20362405,0.5809275,-0.16769874,-0.15180527,0.8872803,-0.20549886,0.30528882,-0.051549084,0,Marco Asensio
-0.7362032,0.32110733,-0.030491099,-0.5429906,0.69583833,-0.23612249,0.5399262,-0.26603812,0,Marco Asensio
0.21634567,0.32400277,0.3894957,0.18068151,0.40530223,0.29459745,0.3909502,-0.39489558,0,Kristjan Asllani
-0.3050087,0.20914957,-0.44792357,0.17696805,0.8919396,-0.28403327,-1.1002729,-0.19814071,1,Iago Aspas
-2.099512,-0.26787433,-0.65347433,-0.866686,0.97273105,-1.0240177,-1.9284588,-0.3650171,1,Yaser Asprilla
-0.46624514,0.39161888,-0.08030285,-0.38106465,0.5260718,-0.14089018,-0.057667743,-0.24584031,0,Lorenz Assignon
-0.5372089,1.3168366,0.48072264,-0.30655015,0.9138257,-0.70948774,1.1699204,-0.4944023,2,Dehmaine Assoumani
-0.8540392,0.094025336,-0.17219576,-0.79507095,0.409409,0.3213231,-0.47551787,-0.18181756,0,Valentin Atangana Edoa
-0.44748905,-0.032281406,-0.638745,-0.40256518,0.4812667,0.040545896,-1.0951701,0.23133916,0,Arthur Atta
-0.011655733,-0.07116818,-0.32479474,0.081963465,0.33454478,-0.11945534,-0.8251443,0.44550565,0,Noah Atubolu
-0.4687184,-0.24236217,-0.034052633,-0.12881897,-0.06868431,-0.42402905,-1.198714,0.21777421,0,Emil Audero
0.81375086,0.7715891,-0.730818,0.21783458,1.272645,-0.0120702535,0.076254345,-1.5016568,1,Tommaso Augello
0.4669,0.74960065,-0.3715332,-0.19532429,0.7707316,-0.018977866,-0.011667907,-0.7474958,1,Carlos Augusto
-1.3389918,0.048667468,0.3529764,-0.78212404,0.2523838,0.3507468,-0.6346414,0.081681095,0,Yann Aurel Bisseck
-1.2613933,1.4976147,-1.1868932,-1.2058622,2.1738355,-1.5786657,1.6185452,-1.1224147,2,Brandon Austin
-0.39858034,-0.07426599,0.7447777,-0.18049666,0.016388774,0.06029652,0.3951888,0.3080449,0,Ezequiel Ávila
-0.6075686,0.10268689,-0.7909965,-0.6622449,0.91672266,-0.23465306,-0.37078026,-0.38314083,1,Taiwo Awoniyi
-0.646685,0.7446953,0.06974714,-0.6314027,0.6348857,-0.4182939,0.47000712,-0.5161914,0,Yasin Ayari
0.0062282085,0.95940185,-0.6805035,-0.58358574,1.4060662,-0.26735228,1.4799407,-1.3411511,2,Florian Ayé
-1.1153054,0.30414495,0.4814802,-0.5868999,0.225754,0.48089367,-0.606047,0.0802766,0,André Ayew
0.023270458,0.30806687,0.61407936,-0.5741551,-0.26656997,0.281107,0.33148313,-0.2528154,0,Jordan Ayew
