mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,Cluster,GMM_Confidence,Recon_Error,Player
-0.22891557,-0.1931149,-0.15922539,0.3147603,0.28518647,-0.036096774,0.5565556,-0.19464676,1.1672275,-0.56315994,-0.5082871,-0.70533425,-0.51022625,-1.149475,0.20045246,0.78116715,2,1.0,0.13789684,Adrià Altimira
-0.91969424,0.4008227,0.3146978,-0.3165115,0.85325927,-0.6048681,-0.18377057,-0.09623283,1.7947638,-0.8860936,-1.5390146,0.4842158,-0.075944215,-0.6944658,0.6976275,0.93080276,5,1.0,0.10188828,Sergi Altimira
0.07500169,-0.55083984,-0.6612396,0.36177954,-0.80009675,0.5365568,0.7778971,0.18752782,0.01044368,-0.32149142,0.6780141,-1.1248887,-0.12384974,-0.9368982,-0.46644282,0.25243658,1,1.0,0.13093223,Olabade Aluko
-0.73876125,0.5661385,0.6682016,-0.4068652,0.45127195,-0.6248949,-0.27605683,0.09943965,1.3897693,-0.72851783,-1.3323137,1.0377749,0.19017929,-0.13337936,0.8345597,0.8187144,5,1.0,0.2563794,Edson Álvarez
-1.1095009,0.9994995,1.3905957,-0.5538181,1.0324291,-0.87940615,-1.0126638,0.25039935,1.1622313,-0.44042292,-1.6848305,1.7575986,0.25640547,-0.2315779,1.5058445,0.7377764,5,0.9999786,0.45026088,Hugo Álvarez
-0.26688927,0.50440186,0.25247186,-0.21879594,0.21277374,-0.42921522,-0.062291138,-0.0651204,0.64142346,-0.018354112,-0.6523793,-0.012874025,-0.07573378,-0.12757508,0.37018257,0.2930189,0,1.0,0.26652536,Julián Álvarez
-0.28926018,1.2829508,1.9089626,-0.5767369,0.6513384,-1.611084,-1.501384,0.13806334,-0.5448741,0.67211,-0.66720897,2.038498,0.34646526,1.4860917,1.2618649,-1.3120494,3,0.99999815,0.19467184,Yeray Álvarez
-0.13912478,0.6216473,0.8695281,-0.13464633,-0.054965563,-0.74700356,-0.049201272,0.073591575,-0.26761743,0.1032096,-1.0623597,1.3550347,0.1406571,1.0712721,0.001891315,-0.5518672,0,0.95539045,0.19583197,Skelly Alvero
0.41383666,-0.01706934,0.6790218,-0.30602032,-0.15446292,-0.30855307,0.07882054,0.35223746,-1.3539253,1.0974652,0.4620922,0.7465151,0.24454445,1.0385935,-1.049987,-1.8140843,4,1.0,0.32034966,Will Alves
0.15124522,-0.021469586,-0.51374185,-0.037544552,-0.046370845,0.1417866,0.4288894,0.5817609,-0.98905647,0.7927329,1.2830362,-0.52943075,-0.06408326,0.2828869,-0.90107214,-0.6317756,7,1.0,0.3649456,Selim Amallah
-0.1456272,0.25098485,0.27995625,-0.29992723,0.12351467,-0.3018662,0.14359991,-0.082315505,0.74987257,-0.32353646,-0.7705843,0.27385825,0.04738704,-0.1929095,0.115940005,0.52982676,5,1.0,0.099867955,Harry Amass
