Player,Cluster,tSNE_1,tSNE_2,UMAP_1,UMAP_2
Jude Bellingham,3,38.756,-17.88114,8.251883,7.7339892
Andrea Belotti,5,27.780527,29.583687,7.23176,0.84512347
Fran Beltrán,7,-7.846253,-24.631924,2.1816638,8.752275
Lucas Beltrán,0,24.649456,-1.5768673,6.942837,5.3038836
Eliesse Ben Seghir,3,30.866167,-14.405787,7.606626,7.191538
Carlos Benavídez,2,-12.801612,29.397652,1.980718,1.064779
László Bénes,5,18.88294,25.049746,6.4658694,1.4960335
Ismaël Bennacer,2,-13.701105,7.455762,1.3033141,4.077949
Saïd Benrahma,5,21.971308,13.499683,6.709384,3.259578
Ramy Bensebaini,4,-3.5685918,-26.891792,2.8924165,9.173478
Rodrigo Bentancur,7,-14.284683,-13.161566,1.1800365,7.2399354
Lucas Beraldo,7,-24.487074,-24.459568,-0.34894365,8.818427
Yuri Berchiche,7,-8.181851,-22.586826,2.1229904,8.402351
Álex Berenguer,3,34.45822,-9.624093,8.208585,6.6897464
Sander Berge,7,-15.817009,-15.802217,0.9498449,7.5822196
Lucas Bergvall,1,-14.036393,2.3148475,1.2347031,4.8352227
Medon Berisha,5,16.560898,30.969225,5.9760356,0.67565763
Adrian Bernabe,0,0.73195577,1.7664406,3.4437106,5.146427
Bernardo,1,-26.899694,-12.22636,-0.48380202,6.9941015
Juan Bernat,2,-13.949177,29.46256,1.9064234,1.0475962
Maxime Bernauer,2,-34.829605,19.877573,-1.2519937,2.0091586
Antoine Bernede,2,-7.0960937,30.005993,2.6816869,1.094285
Alexander Bernhardsson,5,27.961964,10.91316,7.4442477,3.5708046
Victor Bernth Kristiansen,7,-13.743333,-34.04612,1.0946013,10.071835
Matúš Bero,4,12.895058,-27.171316,5.371658,8.798848
Juan Berrocal,2,-32.603622,27.289516,-0.45889732,0.945238
Beto,6,40.5485,8.169304,9.371042,4.445936
Sam Beukema,7,-17.550972,-34.008183,0.7574178,10.042074
Alessandro Bianco,7,-9.209207,-23.445438,1.9311094,8.539884
Mika Biereth,6,47.16155,1.0714046,10.454982,5.9152737
Jaka Bijol,7,-25.872366,-31.580542,-0.38067397,9.831303
Cristiano Biraghi,0,4.062161,9.666595,4.0897665,3.886953
Samuele Birindelli,0,4.663375,5.0182586,4.0301604,4.605511
Tom Bischof,4,6.780086,-36.32319,4.5229993,9.962187
Yves Bissouma,1,-17.38633,-5.5639834,0.8471048,5.9973755
Leonardo Bittencourt,5,10.062712,13.087093,5.0573792,3.1873024
Emmanuel Biumla,2,-34.305004,15.566845,-1.1011106,2.5613782
Antonio Blanco,7,-11.342422,-26.943623,1.6640762,9.096446
Ludovic Blas,3,32.178654,-16.193747,7.800228,7.525765
Daley Blind,7,-3.136606,-38.292774,3.3984523,10.435685
Myron Boadu,6,40.02555,8.942547,9.3069515,4.308576
Augustine Boakye,5,19.032833,23.539322,6.3679285,1.6750273
Sacha Boey,2,-14.58465,22.64221,1.567753,1.5790178
Jeremie Boga,0,22.839985,6.7682486,6.632927,4.259091
Lamare Bogarde,2,-29.249107,28.080336,-0.21374066,0.8233206
Adama Boiro,2,-19.182953,25.052479,0.99087226,1.4003438
Moïse Bombito,7,-29.653913,-15.486502,-0.96703166,7.501996
Warren Bondo,2,-16.02098,14.483386,1.1563951,3.1102264
Victor Boniface,5,41.13012,8.738577,9.381674,4.4510336
Ange-Yoan Bonny,6,38.382637,0.22697924,8.964149,5.4618044
Sebastiaan Bornauw,2,-23.285423,36.828514,0.770733,-0.06425912
Ayyoub Bouaddi,1,-16.525251,4.8733473,0.95410174,4.5170236
Badredine Bouanani,0,21.254232,7.9505653,6.550703,4.0210423
Benjamin Bouchouari,7,-3.259353,-14.2594795,2.8352356,7.241883
Hicham Boudaoui,4,3.837845,-29.931145,4.201373,9.191342
Carlo Boukhalfa,2,-4.3387165,23.992725,2.7700799,1.9412367
Edoardo Bove,2,-4.3208075,20.871769,2.8842714,2.4054315
Jarrod Bowen,3,39.950733,-14.89885,8.8680105,7.5123544
Enzo Boyomo,7,-24.206903,-33.906395,-0.1658858,10.146548
Domagoj Bradarić,1,-4.0672674,-3.0441394,2.7405422,5.725084
Conor Bradley,5,-4.6295395,25.595417,2.6498108,1.7063367
Julian Brandt,3,34.249,-18.143982,8.1621275,7.8085847
Jarrad Branthwaite,1,-32.16574,-17.479937,-1.1610119,7.6534657
Darko Brašanac,2,-7.641731,23.073029,2.5323892,2.0294304
Lilian Brassier,2,-25.949759,33.50715,0.44422865,0.23200691
Lilian Brassier,1,-16.422901,5.7904797,0.8971013,4.477351
Iker Bravo,5,18.744537,31.96787,6.253532,0.46268785
James Bree,2,-17.632286,14.559189,0.92437834,3.037415
Gleison Bremer,2,-36.229385,21.003454,-1.3710234,1.8312511
Ben Brereton,5,24.684605,34.65313,6.815029,0.28585902
Marco Brescianini,5,23.549084,15.937928,6.9807835,2.7666538
Nathan Broadhead,5,18.233173,30.751873,6.1194315,0.6691038
David Brooks,5,21.580515,12.509756,6.644032,3.3092666
Moritz Broschinski,5,31.285978,14.039734,7.8702245,3.1473413
Nathaniel Brown,4,11.2211075,-26.592493,5.051465,8.815193
Ante Budimir,6,49.185295,-0.0369352,10.585456,6.1272845
Santiago Bueno,1,-25.563694,15.390847,0.074331276,2.4513342
Marius Bülter,6,25.312218,-0.9461237,7.075383,5.237804
Facundo Buonanotte,0,20.439188,-4.31326,6.348503,5.7693634
Alessandro Buongiorno,7,-24.031195,-15.14802,-0.17012854,7.3589244
Cameron Burgess,1,-31.508003,3.6416297,-1.0309564,4.3652067
Jonathan Burkardt,6,48.280827,-1.3069968,10.446197,6.248478
Oliver Burke,5,34.24277,16.018064,8.4109535,3.0579414
Dan Burn,7,-26.63889,-31.287472,-0.47870758,9.679917
Wes Burns,2,-6.1218543,28.12287,2.7217846,1.297427
Marnon Busch,1,-12.964073,3.0930908,1.3957299,4.7394032
Gianluca Busio,4,2.63574,-16.221073,3.7660654,7.452666
Aurélio Buta,1,-16.513178,-7.4767756,0.89351803,6.3896594
Rémy Cabella,0,22.277407,-3.9501543,6.5925236,5.7061586
Leandro Cabrera,7,-26.223291,-26.75993,-0.6343711,9.199477
Liberato Cacace,4,6.5511823,-10.214141,4.317943,6.6214275
Anthony Caci,4,11.663398,-34.232037,5.3038745,9.819725
Mathieu Cafaro,5,19.346312,27.418596,6.3662095,1.1514874
Moisés Caicedo,7,-0.42537358,-39.44355,3.7197173,10.421579
Tom Cairney,5,7.789537,17.279835,4.7966747,2.8279142
Jens Cajuste,1,-15.577272,-3.566089,1.0330243,5.7021823
Davide Calabria,2,-7.655588,25.096659,2.5890002,1.7269689
Riccardo Calafiori,2,-13.726141,12.183745,1.4814314,3.4438674
Luca Caldirola,2,-36.7155,11.2487,-1.4331491,3.3080497
Fernando Calero,2,-32.01282,21.220442,-0.7830791,1.8511058
Duje Ćaleta-Car,1,-33.615406,1.111081,-1.2695091,4.8436284
Hakan Çalhanoğlu,4,14.233341,-28.332884,5.535294,8.863212
Dominic Calvert-Lewin,5,37.721313,14.338718,8.755963,3.3497138
Drissa Camara,5,19.178905,34.022217,6.45938,0.40989947
Lamine Camara,4,5.744217,-33.62647,4.4442124,9.826943
Mahdi Camara,4,4.767834,-25.819168,4.2476325,8.851792
Eduardo Camavinga,1,-11.141032,-1.8304591,1.6972798,5.5919657
Nicolò Cambiaghi,5,12.736682,19.955973,5.3926005,2.485129
Andrea Cambiaso,4,6.080367,-28.705645,4.4393234,9.10658
Sergio Camello,5,27.44348,14.522363,7.425085,3.0539775
José Campaña,1,-11.524873,0.67587405,1.7419395,5.183435
Emre Can,7,-21.552992,-25.52246,-0.055829078,9.071563
Matteo Cancellieri,5,14.133826,16.416368,5.5567546,2.715443
Fali Candé,1,-32.452812,-1.6019458,-1.106141,5.1459007
Antonio Candela,2,-14.821539,17.75562,1.3093724,2.7474477
Antonio Candela,2,-27.093782,27.944849,0.23644736,0.9281821
Jaydee Canvot,2,-33.45391,8.395494,-1.1379447,3.7020571
Pierrick Capelle,2,-13.640921,26.293901,1.6913155,1.3573335
Gianluca Caprari,0,22.149363,0.12092999,6.6647387,5.0210834
Maxence Caqueret,0,0.018000625,2.5040016,3.3724778,4.924352
Maxence Caqueret,2,-10.330773,28.692034,2.0598226,1.0895593
Andrea Carboni,7,-29.86431,-17.034723,-0.9965739,7.675332
Irvin Cardona,5,19.382393,32.112072,6.238006,0.5163852
Irvin Cardona,5,32.55492,12.551031,8.204138,3.4413962
Sergi Cardona,4,8.62696,-36.653473,4.7709246,10.139616
Johnny Cardoso,7,-17.662733,-17.30205,0.6325385,7.6557317
Diego Carlos,2,-38.848667,19.714676,-1.6159146,1.8785378
Carmona,7,-12.489744,-36.151665,1.4176655,10.295933
Sergio Carreira,4,2.886459,-8.00531,3.7150216,6.269378
Dani Carvajal,2,-17.643234,28.260715,1.5534987,1.1247859
Fabio Carvalho,5,26.813263,28.98712,7.1741323,0.9792938
William Carvalho,2,-14.001564,28.386204,1.6729535,1.0643876
Cesare Casadei,2,-11.968774,30.280308,2.0401726,0.92983073
Marc Casado,1,-11.375772,-10.552155,1.6534541,6.746921
Nicolò Casale,2,-36.00373,10.313322,-1.3712877,3.390342
Casemiro,7,-0.5056699,-17.189613,3.2466938,7.6775274
Matty Cash,7,-14.832264,-10.449691,1.0406009,6.730936
Josué Casimir,3,20.278542,-5.6945205,6.380075,5.8759623
Cristian Cásseres Jr.,7,-2.1653497,-35.27143,3.271804,10.103138
Timothy Castagne,1,-18.505804,-8.016733,0.67904145,6.5248637
Valentín Castellanos,6,47.46208,0.0089216875,10.404778,5.979876
Jean-Charles Castelletto,1,-32.95358,-13.898474,-1.3237737,7.0544815
Santiago Castro,6,39.28198,1.9190556,9.146614,5.3498564
Gaetano Castrovilli,2,-12.500198,33.058548,1.9165785,0.52734846
Danilo Cataldi,1,-10.882275,-1.0074654,1.6987069,5.4519143
Catena,7,-27.1118,-30.701735,-0.46221387,9.710739
Dani Ceballos,7,-4.1996703,-14.739721,2.628109,7.376576
Zeki Çelik,7,-7.680322,-22.895405,2.1630337,8.473223
Julian Chabot,7,-24.583145,-30.556479,-0.33177298,9.676578
El Chadaille Bitshiabu,1,-33.572475,-1.617857,-1.2295036,5.237905
Fares Chaïbi,0,15.689583,6.9347653,5.85919,4.0228667
Trevoh Chalobah,2,-20.960089,18.15705,0.44066942,2.4313366
Trevoh Chalobah,2,-22.852602,18.663467,0.20758337,2.242844
Conor Chaplin,5,17.564476,30.643332,6.047956,0.725398
Brendan Chardonnet,7,-29.648739,-23.26248,-1.0292017,8.525658
Anrie Chase,2,-32.18032,26.17682,-0.49076355,0.9993682
Pep Chavarría,7,-3.720158,-31.637417,2.844114,9.614926
Arthur Chaves,7,-30.342726,-22.844957,-1.0273654,8.454267
Jhoanner Chávez,2,-8.970491,30.259678,2.3741548,1.0002905
Walid Cheddira,5,22.943478,33.37501,6.6868453,0.35378468
Rayan Cherki,3,36.72047,-19.7173,8.343853,7.9282584
Pedro Chirivella,7,-7.3531837,-25.542894,2.1997914,8.860112
Joris Chotard,1,-15.608177,-2.6218748,1.079545,5.627846
Ryan Christie,4,5.645733,-27.41356,4.3507023,9.0044365
Samuel Chukwueze,0,22.780487,2.8404624,6.780067,4.7177825
Alessandro Circati,2,-31.486233,29.837873,-0.28947157,0.74726623
Pathé Ciss,7,-11.905715,-18.641905,1.4533061,7.851149
Djaoui Cissé,2,-14.45518,10.664339,1.3363832,3.6776104
Seydouba Cissé,7,-1.0348876,-15.167872,3.1564567,7.397588
Patrick Ciurria,2,-3.768489,21.165867,3.0781653,2.5028784
Jack Clarke,0,7.344113,5.871498,4.728545,4.2807164
Alexis Claude-Maurice,0,23.991253,-4.547134,6.7690053,5.744226
Jonathan Clauss,4,12.050755,-34.871998,5.303579,9.877048
Nathaniel Clyne,2,-25.201818,37.081898,0.71106285,-0.10839959
Conor Coady,1,-34.33855,2.9842393,-1.3031083,4.575366
Marcus Coco,2,-13.116948,15.121933,1.4857076,3.2366488
Saúl Coco,7,-31.36486,-26.030859,-1.2691485,8.997703
Nathan Collins,7,-15.796483,-34.942707,0.97711337,10.150837
Nnamdi Collins,1,-18.321285,-3.9664912,0.8183263,5.8451915
Lorenzo Colombo,6,31.829422,5.7286773,7.8601127,4.4243555
Andrea Colpani,5,18.602325,9.647703,6.1772947,3.8310313
Levi Colwill,7,-16.853155,-34.680084,0.84755194,10.071036
Kingsley Coman,3,31.474743,-7.703652,7.8091135,6.3087125
Eray Cömert,1,-35.704,-2.2917976,-1.4831741,5.3322287
Santi Comesaña,4,3.662352,-30.99281,4.2086005,9.382519
Pietro Comuzzo,1,-24.043064,-15.348138,-0.24676713,7.3746715
Francisco Conceição,3,26.953243,-7.851746,7.2499814,6.3013363
Tomás Conechny,5,21.41291,27.363216,6.578004,1.0845803
Sirlord Conteh,5,19.34302,18.929256,6.214387,2.3229756
Lewis Cook,4,-1.5127717,-35.85493,3.4122198,10.158833
Copete,1,-35.679188,-3.4532554,-1.480321,5.5292845
Diego Coppola,7,-32.310905,-28.87989,-1.3243299,9.006815
Derek Cornelius,1,-23.23039,12.351914,0.37384748,2.7846637
Pierre Cornud,2,-26.89938,30.002886,0.14067014,0.69412965
Ángel Correa,5,35.670498,13.573611,8.627436,3.3383126
Joaquín Correa,5,9.199288,18.402697,4.9606133,2.77299
Thierry Correia,2,-15.556778,25.363773,1.5266584,1.4419372
Coba da Costa,5,14.507851,19.911959,5.71625,2.2482443
Danny da Costa,7,-20.394266,-17.125576,0.15144825,7.6733994
Logan Costa,1,-22.487083,-15.826237,0.028249294,7.466652
Samu Costa,7,-11.487017,-31.052458,1.6192138,9.589992
Vladimír Coufal,2,-15.198227,18.165491,1.3628577,2.701928
Lassana Coulibaly,1,-15.295787,-7.4108815,1.1256683,6.4686575
Tanguy Coulibaly,5,17.300686,8.433744,6.010895,4.0483775
